NAME,STATUS,VOTES,LAST VOTED
Florence,not_evicted,1496,2022-06-12 18:43:02
Mimi,not_evicted,1310,2022-06-12 18:14:38
Dzifa,not_evicted,1211,2022-06-13 11:46:39
Yirenkyiwaa,not_evicted,700,2022-06-12 10:54:44
Irene Vanessa,not_evicted,680,2022-06-13 09:46:55
Emefa,not_evicted,674,2022-06-10 16:20:35
Rocklyn,not_evicted,578,2022-06-12 19:20:44
Esi,not_evicted,415,2022-06-11 20:58:13
Francisca,not_evicted,329,2022-06-13 10:16:32
Miriam,not_evicted,249,2022-06-12 18:17:54
Cassie,not_evicted,156,2022-06-12 20:57:12
Baroness,not_evicted,88,2022-06-11 08:54:59
Angela,not_evicted,68,2022-06-11 23:29:03
Rukayatu,not_evicted,65,2022-06-11 14:24:03
Esther,not_evicted,60,2022-06-09 13:03:09
Diana,not_evicted,20,2022-06-05 20:20:40
Ayishetu,not_evicted,0,2022-06-09 18:55:27
Rebecca,not_evicted,0,2022-06-10 08:33:46
